Termo;Setor/Área;Explicação Simples;Setor Econômico
Gasto Público;Macroeconomia;Despesas do governo em consumo, salários e investimentos sociais.;Terciário (Serviços/Administração)
Gasto Público per Capita;Governo;Valor total investido dividido pelo número de habitantes da região.;Terciário
Gastos com Assistência Social/Prisional;Segurança Pública;Métricas de suporte psicológico a presos e familiares.;Terciário
Gated Community;Imobiliário;Dados específicos sobre condomínios fechados (loteamentos).;Terciário
Gated Content;Marketing;Conteúdo que exige preenchimento de formulário para ser acessado.;Terciário
Gateway Fee;Bancário/Fintech;Taxa fixa por transação cobrada pela infraestrutura de pagamento.;Terciário
Gatilhos de Venda;Vendas;Eventos que indicam o momento ideal para abordar um cliente.;Terciário
GDD (Graus-Dia Acumulados);Agricultura;Medida de acúmulo de calor utilizada para prever estádios fenológicos da planta.;Primário
Gêmeo Digital (Digital Twin);Petróleo;Réplica virtual de uma plataforma para simulação de dados e falhas.;Primário (Extração) / Secundário (Refino)
Gender Pay Gap;Recursos Humanos;Diferença salarial média entre homens e mulheres em cargos iguais.;Terciário
Geofencing;Marketing;Uso de GPS para enviar notificações quando um usuário entra em uma área.;Terciário
Geomarketing;Varejo;Uso de dados geográficos para decidir onde abrir lojas ou direcionar anúncios.;Terciário
Geomarketing Data;Automobilístico;Análise espacial para definir locais de abertura de novas concessionárias.;Secundário
Geomarketing de Seguros;Seguros;Análise espacial de CEPs para ajustar taxas de risco por região.;Terciário
Geoprocessamento;Segurança Pública;Tratamento de dados espaciais para cruzamento de variáveis socioeconômicas e crimes.;Terciário
Geoprocessamento (GIS);Governo;Análise de dados espaciais para planejamento urbano e tributário (IPTU).;Terciário
Gestão de Armamentos (RFID);Segurança Pública;Rastreabilidade eletrônica de armas no arsenal.;Terciário
Gestão de Crises (Cadeia de Comando);Segurança Pública;Estrutura hierárquica de tomada de decisão em grandes incidentes.;Terciário
Gestão de Multidões;Segurança Pública;Análise de fluxo e densidade em grandes eventos (shows, protestos).;Terciário
Ghost Inventory;Automobilístico;Divergência entre o estoque sistêmico e o estoque físico no pátio.;Secundário
Ghosting Rate;Comercial;Percentual de leads que param de responder subitamente.;Terciário
Giro de Ativos;Logística;Métrica de BI que avalia quão bem os caminhões e máquinas geram receita.;Terciário
Giro de Ativos;Supply Chain;Eficiência no uso de frotas e maquinários para gerar receita.;Terciário
Giro de Ativos;Mercado Financeiro;Mede quão eficientemente a empresa usa seus ativos para gerar vendas.;Terciário
Giro de Capital;Pecuária;Frequência com que o capital investido em gado retorna para o caixa.;Primário
Giro de Estoque;Varejo;Frequência com que o estoque é renovado em um determinado período.;Terciário
Giro de Estoque;Financeiro;Frequência com que o estoque é renovado em um período.;Terciário
Giro de Estoque;Logística;Frequência com que o estoque é renovado em um período. Indica a saúde financeira da operação.;Terciário
Giro de Estoque;Supply Chain;Frequência com que o estoque é renovado em um determinado período.;Terciário
Giro de Estoque;Imobiliário;Tempo médio que uma unidade permanece na carteira antes de ser vendida.;Terciário
Giro de Estoque (Rebanho);Pecuária;Velocidade com que os animais entram e saem da fazenda (venda).;Primário
Giro de Estoque de Bobinas;Indústria de Papel;Frequência com que o estoque de bobinas-mãe é renovado.;Secundário
Giro de Estoque Farmacêutico;Saúde;Frequência com que o estoque de medicamentos é renovado.;Terciário
Giro de Estoque Midstream;Petróleo;Frequência com que os tanques de armazenamento são renovados.;Primário (Extração) / Secundário (Refino)
Git Commits;Tecnologia;"Registo de alterações feitas no código; indicador de atividade de desenvolvimento.";Terciário
Glosa Administrativa;Saúde;Rejeição de pagamento por erros de preenchimento ou falta de guias.;Terciário
Glosa Técnica;Saúde;Contestação do pagamento por discordância na conduta ou insumos médicos.;Terciário
GMD (Ganho Médio Diário);Agricultura;(Pecuária) Ganho de peso dos animais por dia.;Primário
GMD (Ganho Médio Diário);Pecuária;Peso ganho pelo animal por dia. Principal KPI de eficiência produtiva.;Primário
GMROI (Gross Margin Return on Investment);Varejo;Mede o lucro bruto gerado para cada unidade monetária investida em estoque.;Terciário
GMV (Gross Merchandise Volume);Varejo;Valor total de vendas brutas de mercadorias em um período antes de descontos.;Terciário
GMV (Gross Merchandise Volume);Comercial e Vendas;Valor total de mercadorias vendidas em um marketplace ou plataforma.;Terciário
GMV (Gross Merchandise Volume);Financeiro;Volume total bruto de mercadorias vendidas em um período.;Terciário
GMV (Gross Merchandise Volume);Vendas;Valor total de mercadorias vendidas em um marketplace ou plataforma.;Terciário
GMV (Gross Merchandise Volume);Startups;Volume bruto de mercadorias transacionadas em uma plataforma/marketplace.;Terciário (Majoritariamente)
Goal Attainment;Vendas;Percentual de atingimento de uma meta específica.;Terciário
Gôndola Virtual;Comercial e Vendas;Sortimento de produtos disponíveis para venda em canais digitais.;Terciário
Governança de Dados Públicos;Governo;Políticas de gestão, privacidade e segurança de informações estatais.;Terciário
Governo Digital (e-Gov);Governo;Estratégia de digitalização de serviços para reduzir burocracia.;Terciário
GPCT;Comercial;Metodologia de vendas (Goals, Plans, Challenges, Timeline).;Terciário
GPS Heading Accuracy;Agricultura;"Precisão do sinal de satélite; impacta sobreposição de insumos.";Primário
Gramatura;Indústria de Papel;Peso do papel por unidade de área ($g/m^2$), fundamental para controle de qualidade e custos.;Secundário
Granularidade;Modelagem de Dados;Nível de detalhamento de um dado (ex: venda por dia vs por mês).;Terciário
Granularidade de Dados;Mercado Financeiro;Nível de detalhamento do dado (ex: transação individual vs. total diário).;Terciário
Grau de Alavancagem Operacional;Financeiro;Mede como uma variação nas vendas afeta o lucro operacional.;Terciário
Green Building (ESG);Imobiliário;Certificações de sustentabilidade que agregam valor ao ativo (LEED, AQUA).;Terciário
Green Supply Chain;Supply Chain;Integração de práticas ambientais em todas as etapas da cadeia.;Terciário
GRI (General Rate Increase);Logística;Aumento geral de tarifas aplicado pelas transportadoras/armadores.;Terciário
Gross Leasable Area (GLA / ABL);Imobiliário;Área Bruta Locável disponível em shoppings ou galpões logísticos.;Terciário
Gross Margin;Financeiro;"Margem Bruta; lucro após deduzir apenas os custos de produção/venda.";Terciário
Gross Margin;Startups;"Margem bruta; receita menos o custo de servir (ex: servidores e suporte).";Terciário (Majoritariamente)
Gross Margin;Comercial;Margem bruta de lucro sobre a receita.;Terciário
Gross Margin (Margem Bruta);Varejo;Percentual do faturamento que excede o Custo das Mercadorias Vendidas (CMV).;Terciário
Gross Margin (Margem Bruta);Financeiro;Receita total menos o custo das mercadorias vendidas.;Terciário
Gross Margin (Margem Bruta);Vendas;Diferença entre a receita de vendas e o custo das mercadorias vendidas.;Terciário
Gross Margin per Unit (GPU);Automobilístico;Margem bruta média obtida por veículo vendido.;Secundário
Gross Profit (Lucro Bruto);Varejo;Diferença entre a receita total e o CMV.;Terciário
Gross Revenue Retention (GRR);Startups;Mede a retenção de receita sem considerar o impacto de expansões (upsells).;Terciário (Majoritariamente)
Growth Hacking;Marketing;Estratégias focadas em crescimento rápido através de experimentos de dados.;Terciário
Growth Hacking;Startups;Estratégias de experimentação rápida para encontrar gatilhos de crescimento.;Terciário (Majoritariamente)
Growth Hacking;Comercial;Estratégias de crescimento rápido baseadas em experimentos e dados.;Terciário
Growth Loop;Marketing;Sistema onde a saída de uma etapa serve de entrada para o crescimento.;Terciário
Growth MoM (Month over Month);Vendas;Crescimento percentual das vendas de um mês em relação ao anterior.;Terciário
Growth Rate;BI Geral;Taxa de crescimento de uma métrica em relação ao período anterior.;Terciário
Growth Rate (Taxa de Crescimento);Comercial e Vendas;Percentual de aumento das vendas comparando dois períodos (MoM, YoY).;Terciário
Growth YoY (Year over Year);Vendas;Comparação do volume de vendas atual com o mesmo período do ano anterior.;Terciário
Habite-se;Imobiliário;Certificado municipal que autoriza a ocupação do imóvel (marco de BI).;Terciário
Handoff;Saúde;Transferência de responsabilidade sobre o paciente entre turnos ou setores.;Terciário
Hard Disk I/O;Tecnologia;"Velocidade de leitura e escrita em disco; gargalo comum de performance.";Terciário
HCAHPS;Saúde;Pesquisa padronizada de satisfação do paciente com o cuidado hospitalar.;Terciário
HCROI (Human Capital ROI);Recursos Humanos;Retorno financeiro sobre o investimento em capital humano.;Terciário
Headcount;Recursos Humanos;Contagem total de funcionários ativos.;Terciário
Headcount Productivity;Indústria de Papel;Tonelagem produzida por colaborador ativo.;Secundário
Heatmap (Mapa de Calor);Varejo;Visualização das áreas da loja ou do site com maior interação dos usuários.;Terciário
Heatmap (Mapa de Calor);Visualização;Representação gráfica onde cores indicam a intensidade do dado.;Terciário
Heatmap (Mapa de Calor);Marketing;Representação visual de onde os usuários mais clicam ou olham em um site.;Terciário
Heatmap (Mapa de Calor);Tecnologia;Representação visual das áreas de uma página onde os utilizadores mais clicam.;Terciário
Heatmap de Demanda;Imobiliário;Visualização de dados sobre onde os leads mais procuram imóveis.;Terciário
Hedge;Financeiro;Estratégia de proteção financeira para reduzir riscos de oscilação de preços (ex: câmbio).;Terciário
Hedge;Mercado Financeiro;Estratégia de proteção para reduzir ou eliminar o risco de variação de preços.;Terciário
Hedge;Bolsa de Valores;Operação de proteção contra oscilações indesejadas de preços.;Terciário
Hedge (Proteção de Preço);Pecuária;Uso de contratos futuros na B3 para travar o preço de venda da @.;Primário
Hedge de Preços;Petróleo;Volume de produção protegido contra oscilações de preço no mercado futuro.;Primário (Extração) / Secundário (Refino)
Heterose (Choque de Sangue);Pecuária;Ganho de performance resultante do cruzamento entre raças diferentes.;Primário
High-Frequency Trading (HFT);Mercado Financeiro;Negociações algorítmicas realizadas em milissegundos para capturar spreads.;Terciário
High-Frequency Trading (HFT);Bolsa de Valores;Negociação algorítmica de altíssima velocidade e grande volume.;Terciário
High-Low Pricing;Varejo;Estratégia de alternar preços altos com descontos agressivos.;Terciário
Hit Rate;Comercial e Vendas;"Taxa de sucesso; relação entre propostas enviadas e propostas aceitas.";Terciário
Hit Rate;Comercial;Taxa de sucesso em licitações ou propostas enviadas.;Terciário
Hit Ratio;Seguros;Relação entre propostas apresentadas e propostas aceitas/fechadas.;Terciário
Holding de Moeda;Macroeconomia;Preferência dos agentes por manter liquidez em vez de investir.;Terciário (Serviços/Administração)
Home Broker;Bolsa de Valores;Plataforma online para negociação de ativos pelos investidores.;Terciário
Home Care;Saúde;Serviços de saúde prestados na residência do paciente.;Terciário
Homologação Técnica;Automobilístico;Dados relativos ao cumprimento de normas regulatórias (emissões, segurança).;Secundário
Horas de Treinamento por Colaborador;Recursos Humanos;Média de investimento em tempo para capacitação.;Terciário
Horas-Máquina;Agricultura;Contabilização do uso de ativos para fins de manutenção preventiva e custo fixo.;Primário
